Geography,Total Civilian Noninstitutionalized Population,Avg-Median age in years,Total Households Estimate,Prop Family households,Prop Nonfamily households,Average household size,Average family size,Gps living with gcs under 18 years,Prop  Gps caring for gc over 18,Number of Veterans,Veterans as Prop of population,Unemployed veterans Prop of labour force,Hispani or Latino,Hispanic/Latino Prop,White,White Prop,Black Estimate,Black Prop,Native American/Alaskan,Native American/Alaskan Prop,Asian,Asian Prop,Native Hawaiian/Pacific Islander,Native Hawaiian/Pacific Islander Prop,"Other Race Only, Not Hispanic/Latino","Other Race Only, Not Hispanic/Latino Prop","Two or more races alone, Not Hispanic or Latino Estimate","Two or more races alone, Not Hispanic or Latino Prop",Prop Native Born,Prop Foreign born,Prop of Foreign Born who are Naturalized U.S. citizen,Pop 5 years +,Pop 5 years + foreign language at home,Pop 5 years + w/ poor English
Arden-Arcade CDP,99954,35.5,40788,56.1,43.9,2.43,3.22,N,N,5148,6.9,6.5,20634,20.5,55216,54.9,9500,9.4,242,0.2,6382,6.3,385,0.4,379,0.4,7835,7.8,77.1,22.9,34.3,92906,28.7,13.3
Carmichael CDP,65524,40,25537,67.3,32.7,2.54,3.03,N,N,3305,6.2,17.9,7873,11.9,45144,68.4,2191,3.3,136,0.2,5244,8,0,0,185,0.3,5186,7.9,83.8,16.2,61.4,61987,20.8,7.9
Citrus Heights city,87696,37.4,33598,61.9,38.1,2.59,3.21,N,N,5832,8.4,2.1,16031,18.2,61432,69.9,3835,4.4,304,0.3,2431,2.8,41,0,212,0.2,3638,4.1,85.8,14.2,53.7,82975,21.9,9.3
Elk Grove city,171291,37.9,53661,77.5,22.5,3.18,3.63,N,N,8659,6.7,0,35770,20.8,58982,34.3,15366,8.9,337,0.2,46798,27.2,4009,2.3,0,0,10569,6.2,74.1,25.9,75.2,161883,35.6,14.6
Folsom city,73942,41.3,28094,74.9,25.1,2.63,3.07,N,N,3934,6.7,0,9761,12.5,46716,59.9,1956,2.5,204,0.3,14175,18.2,278,0.4,11,0,4937,6.3,83.7,16.3,53,74276,23.8,5
Rancho Cordova city,73360,36.1,25850,66.8,33.2,2.82,3.29,N,N,5009,8.9,10,16071,21.8,38314,52.1,7242,9.8,214,0.3,6777,9.2,756,1,190,0.3,3990,5.4,74.9,25.1,55.2,68500,33.7,16.5
Sacramento city,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8
San Bernardino County,2103552,33.4,626223,76.5,23.5,3.35,3.83,79177,23.8,91222,5.8,5.4,1152510,53.4,613549,28.4,167255,7.8,8031,0.4,152274,7.1,6271,0.3,3553,0.2,53961,2.5,80.1,19.9,48,2003368,40.9,14.1
Apple Valley town,72677,37.6,24050,72.8,27.2,3.02,3.57,N,N,4342,8.2,15.7,27272,37.3,35482,48.6,5804,7.9,132,0.2,1967,2.7,0,0,0,0,2414,3.3,90.9,9.1,71.2,65345,15.5,4
Chino city,70233,37.8,20484,77,23,3.42,3.91,N,N,3741,5.3,0,46559,51.8,22932,25.5,5361,6,145,0.2,11220,12.5,1093,1.2,189,0.2,2299,2.6,77,23,51.6,85659,35.2,13.7
Chino Hills city,80280,37.4,23170,88.4,11.6,3.46,3.71,N,N,3168,5.1,2.8,22306,27.7,26735,33.3,2095,2.6,303,0.4,27250,33.9,0,0,0,0,1711,2.1,71.2,28.8,70.6,76034,43.3,14.3
